WeekNumber,ActualAvgRevenue,PredictedAvgRevenue,ActualMedianRevenue,PredictedMedianRevenue,MAE,RowCount
42,92.76412578616352,93.24703816385997,80.3,82.32185260590542,13.386807086584446,795
43,90.09883940620783,93.45427822980727,74.49,82.57922096237988,13.614214399614376,741
44,85.45151913875598,89.1344818486596,71.025,77.78729728128224,13.207528161002886,836
45,86.667285012285,91.69932793656909,71.19999999999999,80.10870967559688,14.488899223146024,814
46,83.71032425421531,90.64487964505098,70.4,79.19399107960902,14.30558701673532,771
47,76.55397374701671,87.80488676356079,64.435,78.7661130752696,14.875170830343247,838
48,74.5758830548926,87.20785550121991,63.040000000000006,77.5422297010717,15.951499660246174,838
49,72.96273209549072,88.42208278490226,61.504999999999995,77.30216763176853,17.735427377464372,754
50,69.90419847328243,86.54087007563545,59.7,76.89598581389245,18.431690182610925,786
51,68.47828387096774,85.48373440088277,57.65,75.70570474680638,18.81260502745309,775
52,70.01924096385542,87.45519983288702,58.56,77.79644823737308,19.187257268691777,830
